SED freq flux
0 5.88 2620.55059418
0 5.89 2625.18021001
0 5.9 2629.81013051
0 5.91 2634.44035519
0 5.92 2639.07088355
0 5.93 2643.7017151
0 5.94 2648.33284934
0 5.95 2652.9642858
0 5.96 2657.59602397
0 5.97 2662.22806337
0 5.98 2666.86040353
0 5.99 2671.49304394
0 6.0 2676.12598414
0 6.01 2680.75922364
0 6.02 2685.39276196
0 6.03 2690.02659863
0 6.04 2694.66073316
0 6.05 2699.2951651
0 6.06 2703.92989395
0 6.07 2708.56491926
0 6.08 2713.20024056
0 6.09 2717.83585736
0 6.1 2722.47176922
0 6.11 2727.10797566
0 6.12 2731.74447622
0 6.13 2736.38127044
0 6.14 2741.01835785
0 6.15 2745.65573801
0 6.16 2750.29341044
0 6.17 2754.9313747
0 6.18 2759.56963033
0 6.19 2764.20817688
0 6.2 2768.8470139
0 6.21 2773.48614093
0 6.22 2778.12555752
0 6.23 2782.76526323
0 6.24 2787.40525762
0 6.25 2792.04554023
0 6.26 2796.68611063
0 6.27 2801.32696837
0 6.28 2805.96811302
0 6.29 2810.60954412
0 6.3 2815.25126125
0 6.31 2819.89326397
0 6.32 2824.53555185
0 6.33 2829.17812444
0 6.34 2833.82098132
0 6.35 2838.46412206
0 6.36 2843.10754622
0 6.37 2847.75125338
0 6.38 2852.39524312
0 6.39 2857.039515
0 6.4 2861.6840686
0 6.41 2866.32890349
0 6.42 2870.97401927
0 6.43 2875.6194155
0 6.44 2880.26509177
0 6.45 2884.91104765
0 6.46 2889.55728274
0 6.47 2894.20379661
0 6.48 2898.85058885
0 6.49 2903.49765906
0 6.5 2908.14500681
0 6.51 2912.7926317
0 6.52 2917.44053331
0 6.53 2922.08871125
0 6.54 2926.73716509
0 6.55 2931.38589445
0 6.56 2936.03489891
0 6.57 2940.68417806
0 6.58 2945.33373152
0 6.59 2949.98355887
0 6.6 2954.63365972
0 6.61 2959.28403368
0 6.62 2963.93468033
0 6.63 2968.58559929
0 6.64 2973.23679016
0 6.65 2977.88825254
0 6.66 2982.53998606
0 6.67 2987.1919903
0 6.68 2991.8442649
0 6.69 2996.49680944
0 6.7 3001.14962355
0 6.71 3005.80270685
0 6.72 3010.45605893
0 6.73 3015.10967943
0 6.74 3019.76356795
0 6.75 3024.41772412
0 6.76 3029.07214755
0 6.77 3033.72683787
0 6.78 3038.38179469
0 6.79 3043.03701763
0 6.8 3047.69250632
0 6.81 3052.34826039
0 6.82 3057.00427946
0 6.83 3061.66056315
0 6.84 3066.3171111
0 6.85 3070.97392293
0 6.86 3075.63099827
0 6.87 3080.28833675
0 6.88 3084.94593801
0 6.89 3089.60380167
0 6.9 3094.26192738
0 6.91 3098.92031476
0 6.92 3103.57896345
0 6.93 3108.2378731
0 6.94 3112.89704333
0 6.95 3117.55647378
0 6.96 3122.2161641
0 6.97 3126.87611393
0 6.98 3131.53632291
0 6.99 3136.19679068
0 7.0 3140.85751688
0 7.01 3145.51850117
0 7.02 3150.17974319
0 7.03 3154.84124258
0 7.04 3159.50299899
0 7.05 3164.16501208
0 7.06 3168.82728149
0 7.07 3173.48980687
0 7.08 3178.15258787
0 7.09 3182.81562415
0 7.1 3187.47891537
0 7.11 3192.14246117
0 7.12 3196.80626121
0 7.13 3201.47031516
0 7.14 3206.13462266
0 7.15 3210.79918337
0 7.16 3215.46399696
0 7.17 3220.12906309
0 7.18 3224.79438141
0 7.19 3229.45995159
0 7.2 3234.1257733
0 7.21 3238.79184619
0 7.22 3243.45816993
0 7.23 3248.12474419
0 7.24 3252.79156864
0 7.25 3257.45864294
0 7.26 3262.12596676
0 7.27 3266.79353977
0 7.28 3271.46136164
0 7.29 3276.12943205
0 7.3 3280.79775066
0 7.31 3285.46631715
0 7.32 3290.13513119
0 7.33 3294.80419246
0 7.34 3299.47350063
0 7.35 3304.14305538
0 7.36 3308.81285639
0 7.37 3313.48290333
0 7.38 3318.15319589
0 7.39 3322.82373375
0 7.4 3327.49451658
0 7.41 3332.16554407
0 7.42 3336.8368159
0 7.43 3341.50833175
0 7.44 3346.18009131
0 7.45 3350.85209426
0 7.46 3355.52434029
0 7.47 3360.19682909
0 7.48 3364.86956034
0 7.49 3369.54253374
0 7.5 3374.21574896
0 7.51 3378.88920571
0 7.52 3383.56290366
0 7.53 3388.23684252
0 7.54 3392.91102198
0 7.55 3397.58544173
0 7.56 3402.26010146
0 7.57 3406.93500087
0 7.58 3411.61013965
0 7.59 3416.2855175
0 7.6 3420.96113413
0 7.61 3425.63698921
0 7.62 3430.31308246
0 7.63 3434.98941358
0 7.64 3439.66598226
0 7.65 3444.3427882
0 7.66 3449.01983111
0 7.67 3453.6971107
0 7.68 3458.37462665
0 7.69 3463.05237868
0 7.7 3467.7303665
0 7.71 3472.4085898
0 7.72 3477.0870483
0 7.73 3481.7657417
0 7.74 3486.4446697
0 7.75 3491.12383203
0 7.76 3495.80322838
0 7.77 3500.48285848
0 7.78 3505.16272201
0 7.79 3509.84281871
0 7.8 3514.52314829
0 7.81 3519.20371044
0 7.82 3523.8845049
0 7.83 3528.56553137
0 7.84 3533.24678956
0 7.85 3537.92827921
0 7.86 3542.61000001
0 7.87 3547.29195169
0 7.88 3551.97413397
0 7.89 3556.65654656
0 7.9 3561.33918919
0 7.91 3566.02206157
0 7.92 3570.70516343
0 7.93 3575.38849448
0 7.94 3580.07205445
0 7.95 3584.75584307
0 7.96 3589.43986005
0 7.97 3594.12410512
0 7.98 3598.808578
0 7.99 3603.49327842
0 8.0 3608.17820611
0 8.01 3612.8633608
0 8.02 3617.5487422
0 8.03 3622.23435005
0 8.04 3626.92018408
0 8.05 3631.60624402
0 8.06 3636.2925296
0 8.07 3640.97904054
0 8.08 3645.66577659
0 8.09 3650.35273747
0 8.1 3655.03992291
0 8.11 3659.72733265
0 8.12 3664.41496643
0 8.13 3669.10282397
0 8.14 3673.79090502
0 8.15 3678.4792093
0 8.16 3683.16773656
0 8.17 3687.85648653
0 8.18 3692.54545896
0 8.19 3697.23465358
0 8.2 3701.92407012
0 8.21 3706.61370833
0 8.22 3711.30356795
0 8.23 3715.99364873
0 8.24 3720.68395039
0 8.25 3725.37447269
0 8.26 3730.06521537
0 8.27 3734.75617816
0 8.28 3739.44736083
0 8.29 3744.1387631
0 8.3 3748.83038473
0 8.31 3753.52222545
0 8.32 3758.21428503
0 8.33 3762.9065632
0 8.34 3767.59905971
0 8.35 3772.29177432
0 8.36 3776.98470676
0 8.37 3781.67785679
0 8.38 3786.37122416
0 8.39 3791.06480863
0 8.4 3795.75860993
0 8.41 3800.45262783
0 8.42 3805.14686207
0 8.43 3809.84131241
0 8.44 3814.53597861
0 8.45 3819.2308604
0 8.46 3823.92595757
0 8.47 3828.62126984
