congress_number,icpsr_id,state_code,congress_district,state_name,party_code,occupancy,last_means_of_office,name,x_dimension,alt_dimension,log_likelihood,num_votes,num_classification_factors,geometric_mean_probability
114,21523,45,6,LOUISIA,200,0,1,GRAVES,0.49,-0.07,-150.41001,1117,61,0.874
114,20920,2,1,MAINE,100,0,1,PINGREE,-0.429,-0.419,-88.63918,1115,39,0.924
114,21524,2,2,MAINE,200,0,1,POLIQUIN,0.367,-0.246,-265.06953,1122,119,0.79
114,21139,52,1,MARYLAN,200,0,1,HARRIS,0.597,-0.198,-143.06522,1117,56,0.88
114,20329,52,2,MARYLAN,100,0,1,RUPPERSBE,-0.303,0.172,-172.57347,1076,69,0.852
114,20724,52,3,MARYLAN,100,0,1,SARBANES,-0.461,-0.103,-59.98152,1105,28,0.947
114,20763,52,4,MARYLAN,100,0,1,EDWARDS,-0.562,-0.294,-71.33447,1097,33,0.937
114,14873,52,5,MARYLAN,100,0,1,HOYER,-0.38,0.129,-94.16422,1083,43,0.917
114,21334,52,6,MARYLAN,100,0,1,DELANEY,-0.276,0.023,-176.59766,1055,79,0.846
114,29587,52,7,MARYLAN,100,0,1,CUMMINGS,-0.439,-0.14,-60.31532,1100,23,0.947
114,20330,52,8,MARYLAN,100,0,1,VAN HOLLE,-0.403,-0.159,-65.47101,1094,20,0.942
114,15616,3,1,MASSACH,100,0,1,NEAL,-0.417,-0.12,-92.73404,1097,49,0.919
114,29729,3,2,MASSACH,100,0,1,MCGOVERN,-0.534,-0.338,-76.25815,1114,38,0.934
114,20754,3,3,MASSACH,100,0,1,TSONGAS,-0.409,-0.168,-76.3635,1079,29,0.932
114,21335,3,4,MASSACH,100,0,1,KENNEDY,-0.448,-0.068,-92.09657,1072,35,0.918
114,21375,3,5,MASSACH,100,0,1,CLARK,-0.479,-0.51,-64.47897,1120,29,0.944
114,21525,3,6,MASSACH,100,0,1,MOULTON,-0.34,0.019,-136.91228,1118,58,0.885
114,29919,3,7,MASSACH,100,0,1,CAPUANO,-0.58,-0.1,-109.94657,1100,61,0.905
114,20119,3,8,MASSACH,100,0,1,LYNCH,-0.352,0.026,-153.0348,1104,67,0.871
114,21140,3,9,MASSACH,100,0,1,KEATING,-0.335,-0.153,-146.45324,1103,55,0.876
114,21141,23,1,MICHIGA,200,0,1,BENISHEK,0.491,-0.15,-198.80694,1122,105,0.838
114,21142,23,2,MICHIGA,200,0,1,HUIZENGA,0.64,-0.053,-114.10973,1090,52,0.901
114,21143,23,3,MICHIGA,200,0,1,AMASH,0.647,-0.763,-475.27625,1122,172,0.655
114,21526,23,4,MICHIGA,200,0,1,MOOLENAAR,0.429,0.481,-98.04196,1111,39,0.916
114,21372,23,5,MICHIGA,100,0,1,KILDEE,-0.421,-0.119,-79.85456,1098,26,0.93
114,15446,23,6,MICHIGA,200,0,1,UPTON,0.337,-0.402,-217.44498,1125,91,0.824
114,20725,23,7,MICHIGA,200,0,1,WALBERG,0.528,0.083,-97.8638,1118,50,0.916
114,21527,23,8,MICHIGA,200,0,1,BISHOP,0.436,0.156,-122.20438,1120,55,0.897
114,15033,23,9,MICHIGA,100,0,1,LEVIN,-0.379,-0.075,-82.50077,1106,30,0.928
114,20331,23,10,MICHIGA,200,0,1,MILLER,0.343,-0.001,-160.03739,1056,75,0.859
114,21528,23,11,MICHIGA,200,0,1,TROTT,0.372,0.338,-107.83626,1119,43,0.908
114,21529,23,12,MICHIGA,100,0,1,DINGELL D,-0.468,0.039,-76.65011,1097,29,0.933
114,10713,23,13,MICHIGA,100,0,1,CONYERS,-0.66,-0.465,-99.52173,1074,38,0.911
114,21530,23,14,MICHIGA,100,0,1,LAWRENCE,-0.457,-0.032,-81.23476,1111,35,0.929
114,20726,33,1,MINNESO,100,0,1,WALZ,-0.28,0.177,-196.89662,1113,78,0.838
114,20333,33,2,MINNESO,200,0,1,KLINE,0.49,0.154,-112.95818,1114,45,0.904
114,20924,33,3,MINNESO,200,0,1,PAULSEN,0.404,-0.139,-166.27828,1114,77,0.861
114,20122,33,4,MINNESO,100,0,1,MCCOLLUM,-0.425,-0.154,-90.67067,1109,31,0.921
114,20727,33,5,MINNESO,100,0,1,ELLISON,-0.541,-0.532,-90.48254,1076,35,0.919
114,21531,33,6,MINNESO,200,0,1,EMMER,0.421,-0.063,-175.42386,1118,82,0.855
114,29127,33,7,MINNESO,100,0,1,PETERSON,-0.144,0.755,-459.49844,1115,221,0.662
114,14263,33,8,MINNESO,100,0,1,NOLAN,-0.377,-0.442,-189.13209,1081,66,0.839
114,21561,46,1,MISSISS,200,2,2,KELLY,0.539,0.334,-69.95139,829,35,0.919
114,29368,46,2,MISSISS,100,0,1,THOMPSON,-0.519,0.434,-123.12809,1080,60,0.892
114,20925,46,3,MISSISS,200,0,1,HARPER,0.38,0.553,-90.58458,1102,33,0.921
114,21148,46,4,MISSISS,200,0,1,PALAZZO,0.5,0.66,-107.21238,1075,52,0.905
114,20147,34,1,MISSOUR,100,0,1,CLAY,-0.491,-0.045,-105.14445,1087,36,0.908
114,21337,34,2,MISSOUR,200,0,1,WAGNER,0.447,0.337,-88.24017,1051,33,0.919
114,20926,34,3,MISSOUR,200,0,1,LUETKEMEYER,0.445,0.327,-85.88222,1106,38,0.925
114,21149,34,4,MISSOUR,200,0,1,HARTZLER,0.504,0.525,-90.55699,1119,43,0.922
114,20517,34,5,MISSOUR,100,0,1,CLEAVER,-0.458,0.042,-100.46733,1013,36,0.906
114,20124,34,6,MISSOUR,200,0,1,GRAVES,0.429,0.203,-130.85029,1054,56,0.883
114,21150,34,7,MISSOUR,200,0,1,LONG,0.578,0.461,-88.36572,1075,38,0.921
114,21373,34,8,MISSOUR,200,0,1,SMITH,0.614,0.38,-84.25278,1115,43,0.927
114,21532,64,1,MONTANA,200,0,1,ZINKE,0.409,-0.073,-192.28261,1103,69,0.84
114,20518,35,1,NEBRASK,200,0,1,FORTENBE,0.295,-0.03,-189.39871,1111,80,0.843
114,21533,35,2,NEBRASK,100,0,1,ASHFORD,-0.185,0.441,-325.13112,1112,137,0.746
114,20729,35,3,NEBRASK,200,0,1,SMITH,0.506,0.299,-80.84463,1115,28,0.93
114,20927,65,1,NEVADA,100,0,1,TITUS,-0.296,-0.158,-114.2758,1067,39,0.898
114,21196,65,2,NEVADA,200,0,1,AMODEI,0.386,0.193,-114.3655,1055,44,0.897
114,21151,65,3,NEVADA,200,0,1,HECK,0.324,0.014,-170.65291,1074,83,0.853
114,21534,65,4,NEVADA,200,0,1,HARDY,0.353,0.209,-119.1218,1099,51,0.897
114,21535,4,1,NEW HAM,200,0,1,GUINTA,0.427,-0.073,-156.51923,1110,61,0.868
114,21340,4,2,NEW HAM,100,0,1,KUSTER,-0.259,-0.147,-128.82284,1117,50,0.891
114,21536,12,1,NEW JER,100,0,1,NORCROSS,-0.38,0.239,-129.64429,1109,66,0.89
114,29539,12,2,NEW JER,200,0,1,LOBIONDO,0.2,-0.173,-257.29224,1125,123,0.796
114,21537,12,3,NEW JER,200,0,1,MACARTHUR,0.209,0.253,-174.46908,1113,76,0.855
114,14863,12,4,NEW JER,200,0,1,SMITH,0.156,-0.175,-341.82601,1113,140,0.736
114,20336,12,5,NEW JER,200,0,1,GARRETT,0.688,-0.243,-161.0892,1099,76,0.864
114,15454,12,6,NEW JER,100,0,1,PALLONE,-0.397,-0.175,-90.07941,1106,46,0.922
114,20929,12,7,NEW JER,200,0,1,LANCE,0.338,-0.196,-205.67256,1125,101,0.833
114,20542,12,8,NEW JER,100,0,1,SIRES,-0.406,0.106,-148.89205,1070,68,0.87
114,29741,12,9,NEW JER,100,0,1,PASCRELL,-0.368,0.022,-113.862,1101,40,0.902
114,31103,12,10,NEW JER,100,0,1,PAYNE,-0.504,-0.141,-76.31124,912,30,0.92
114,29541,12,11,NEW JER,200,0,1,FRELINGH,0.28,-0.249,-224.79654,1120,86,0.818
114,21538,12,12,NEW JER,100,0,1,WATSON-COL,-0.525,-0.427,-70.45552,1115,27,0.939
114,21341,66,1,NEW MEX,100,0,1,LUJAN GRIS,-0.339,0.132,-129.23009,1072,47,0.886
114,20337,66,2,NEW MEX,200,0,1,PEARCE,0.469,0.12,-153.82796,1058,70,0.865
114,20932,66,3,NEW MEX,100,0,1,LUJAN,-0.38,0.074,-111.98001,1115,41,0.904
114,21539,13,1,NEW YOR,200,0,1,ZELDIN,0.331,-0.071,-193.83711,1120,73,0.841
114,29375,13,2,NEW YOR,200,0,1,KING,0.26,-0.017,-173.32055,1118,55,0.856
