q,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28
0.20825,0.0018611,0.0017835,0.0024388,0.0042345,0.0048828,0.0057502,0.003793,0.0042365,0.0045409,0.0062556,0.0050508,0.0070466,0.0050643,0.0047681,0.0057277,0.0062573,0.0060057,0.0054732,0.0055335,0.0040287,0.003794,0.002476,0.0032109,0.00076918,0.00054039,0.00099717,-0.00043034,-0.00067885
0.21158,0.00051205,0.0011956,0.0009836,0.0027485,0.0038249,0.004335,0.0046932,0.0045064,0.0033079,0.0056214,0.0048417,0.0064172,0.0054282,0.0043764,0.0059877,0.0059399,0.006042,0.0047874,0.0042976,0.0036024,0.0037117,0.0035027,0.0023297,0.0011197,-0.00031695,0.0013461,-0.001469,-0.00094356
0.21491,0.0012161,0.0017351,0.001121,0.0027322,0.0035415,0.003169,0.0049972,0.0038247,0.0042911,0.0057624,0.0046373,0.0069182,0.0050033,0.00404,0.0053607,0.0055228,0.0067889,0.0049042,0.0043539,0.0031684,0.0032536,0.0023761,0.0014302,0.00032769,-4.76E-05,0.00018939,-0.0012405,-0.00027132
0.21824,0.00054265,0.0016112,0.0010435,0.001896,0.0032475,0.0040823,0.0042695,0.0037471,0.0044208,0.0055865,0.0054444,0.0068079,0.0046214,0.0051167,0.005838,0.0056663,0.006476,0.0060244,0.0057092,0.0031137,0.0033684,0.0017221,0.0018201,0.00060974,-3.52E-06,0.00010492,-0.00076682,-0.0011728
0.22158,0.00036521,0.00024138,0.0014556,0.0028588,0.0030844,0.0035936,0.0045487,0.0052627,0.004324,0.0048918,0.0048295,0.0065367,0.004844,0.0055298,0.006396,0.0056843,0.0055625,0.0059462,0.0055592,0.0029667,0.0031535,0.0023692,0.0020377,0.00054023,0.00015489,-0.00023691,-0.00048348,-0.0002772
0.22491,0.00039357,0.00052967,0.0017137,0.0034176,0.0034618,0.0055608,0.0042022,0.0047715,0.0040155,0.0046547,0.0043429,0.0057221,0.0052264,0.0052467,0.0065999,0.0056854,0.0059484,0.004998,0.0062451,0.004047,0.0025825,0.0018829,0.0030172,0.00011646,9.67E-05,0.00040072,-0.00023228,-0.00069805
0.22824,0.0012698,0.0015818,0.0020376,0.0040554,0.0038148,0.0039203,0.0038267,0.0036783,0.0039093,0.0045572,0.0039699,0.0058672,0.004733,0.0051044,0.0055409,0.0048022,0.0058592,0.0054944,0.0047107,0.0039246,0.0020028,0.002697,0.0024196,-8.89E-05,-8.93E-05,0.00089469,-0.00058844,-0.00058826
0.23157,0.0017725,0.0024803,0.0021239,0.0041216,0.0040465,0.0041495,0.0040162,0.0049191,0.0038176,0.0056015,0.0047418,0.0058041,0.0046853,0.0048506,0.0051198,0.00436,0.0055204,0.0050656,0.0048216,0.0026007,0.0031502,0.0030397,0.0015574,-0.00029096,0.00037472,0.00020056,0.0003185,-0.00010203
0.2349,0.0021917,0.0038387,0.0031134,0.0033672,0.002342,0.0029004,0.0039306,0.0046169,0.0035455,0.0053213,0.0041129,0.0065182,0.0049603,0.0051262,0.0061122,0.0047088,0.0056276,0.0049785,0.0054272,0.0034601,0.0036023,0.0028146,0.0023012,8.67E-05,-0.00051138,0.00058088,-0.00079924,-0.00053651
0.23824,0.00081683,0.001496,0.002254,0.0029332,0.004839,0.0042521,0.0045774,0.0046599,0.0038923,0.0042621,0.0035973,0.0057334,0.004664,0.0050007,0.0050144,0.0048025,0.0053116,0.0049616,0.0047227,0.0023501,0.0024927,0.0017664,0.0019244,0.0004657,-5.14E-05,-7.34E-05,8.65E-05,0.00032737
0.24157,0.0011114,0.0020545,0.0022836,0.0029522,0.0031122,0.0031858,0.0046899,0.003906,0.0036058,0.0043437,0.0035397,0.0060071,0.0038609,0.0040594,0.0050316,0.0045806,0.0064815,0.0048731,0.0046172,0.0029983,0.0029472,0.0027577,0.0023559,-9.59E-05,-0.00084193,0.00035472,-0.00066501,-0.00045267
0.2449,0.0011916,0.0023367,0.0014771,0.0042907,0.0038446,0.0034952,0.0047076,0.0040138,0.0044507,0.004636,0.0041397,0.0056819,0.0043767,0.0047872,0.0051644,0.0047968,0.0057926,0.0056414,0.0040163,0.0029846,0.0034574,0.0026507,0.0021234,0.00013264,0.00014473,0.0010514,-0.0018818,-0.0010117
0.24823,0.0012932,0.0018063,0.0016889,0.0019917,0.0035776,0.0030048,0.0041173,0.003931,0.0042977,0.0041769,0.0049934,0.005713,0.004283,0.005006,0.0058424,0.0047601,0.0048436,0.0060444,0.0042948,0.0021257,0.0022032,0.0018125,0.00077154,0.00058718,0.00011743,-0.00071081,-0.0017549,-0.00072077
0.25156,0.0018041,0.0023115,0.0016731,0.0036881,0.0039477,0.0040336,0.00533,0.0037638,0.0038295,0.0052941,0.0039323,0.0063696,0.0039392,0.0052937,0.0050377,0.0045339,0.0057777,0.0051939,0.0039509,0.0022769,0.0022194,0.00085976,0.00083943,1.32E-05,-0.00028989,-0.00045175,-0.0013139,-0.00067265
0.2549,0.002666,0.0026517,0.0027738,0.0044238,0.0047239,0.0044636,0.0045863,0.0039132,0.0045799,0.004322,0.0042177,0.0057596,0.0042656,0.0042598,0.0047695,0.0040127,0.0050889,0.0048919,0.0046965,0.0021157,0.0018441,0.0011389,-0.00012606,2.73E-05,-0.00025019,-0.00039912,-0.0026589,-0.0012697
0.25823,0.0022804,0.0026853,0.0027838,0.0026466,0.0030966,0.0031286,0.004234,0.0045227,0.0033556,0.0041209,0.0033675,0.0054422,0.0053294,0.0043535,0.0049025,0.004969,0.0039101,0.0041348,0.0040833,0.0025916,0.0015904,0.000807,0.0005726,-7.96E-05,-0.0011168,-4.55E-05,-0.0021436,-0.0012661
0.26156,0.0021049,0.0018801,0.0021751,0.0031353,0.0033468,0.0020723,0.0034184,0.0037017,0.0038622,0.0047615,0.0039524,0.0060738,0.0044531,0.0033057,0.0043876,0.0043291,0.0056764,0.0050338,0.0029117,0.0016076,0.0021199,0.00060964,0.00075367,-0.00046771,-0.00057091,-0.00067302,-0.0017154,-0.0016049
0.26489,0.0013995,0.0019239,0.0020563,0.0034987,0.0038006,0.0031827,0.0042754,0.0035019,0.0043259,0.0043904,0.0036634,0.0050517,0.00357,0.0033655,0.0041413,0.0038607,0.0051184,0.004491,0.0036849,0.002267,0.0018256,0.0016999,0.0015181,-0.0010382,-9.35E-06,0.00026293,-0.0024594,-0.0017389
0.26822,0.0019696,0.0022404,0.0022154,0.0030304,0.0027826,0.0036219,0.0050608,0.0037001,0.0033065,0.004654,0.0027489,0.0050833,0.0042435,0.0033301,0.0037981,0.0051276,0.0054794,0.003849,0.0033964,0.0007567,0.0017311,0.00011917,-0.00012895,-0.00017102,-0.00064099,-0.0012115,-0.0025101,-0.0014552
