y,cb,cr
79,129,122
89,123,127
109,103,143
100,103,144
48,120,139
39,120,137
42,120,138
40,122,137
45,120,139
52,117,141
59,114,143
75,109,146
83,104,147
85,104,147
78,108,146
61,114,145
172,143,117
189,144,116
187,145,116
185,145,116
184,145,115
183,145,115
181,146,115
180,146,114
178,146,114
176,147,114
175,148,113
173,148,113
171,148,113
169,148,112
167,149,112
166,150,112
165,150,112
164,150,112
164,150,112
165,150,112
166,150,112
168,150,112
170,149,112
170,149,113
171,149,112
172,149,112
171,149,113
170,149,112
169,149,112
167,150,112
164,150,112
161,151,111
160,151,111
157,152,111
156,151,110
154,152,110
152,152,110
150,153,110
149,153,109
147,154,110
145,153,109
144,154,109
143,154,109
144,154,108
149,153,109
158,152,111
167,150,112
170,149,113
174,148,113
181,146,114
184,145,115
186,145,116
187,145,116
186,145,116
185,145,116
183,145,116
179,146,115
173,147,114
170,148,113
167,149,113
165,149,113
162,150,112
159,150,112
158,151,111
160,150,111
168,149,113
168,149,113
156,145,115
143,137,120
119,134,123
121,138,121
151,143,117
105,114,137
91,112,139
51,123,133
44,133,130
62,130,128
83,122,129
83,115,138
69,117,137
84,112,137
122,99,143
113,100,144
115,99,144
86,108,141
29,127,132
35,128,133
44,129,134
68,131,122
82,129,120
96,112,135
98,102,144
70,112,140
21,129,130
27,129,131
35,127,133
41,127,135
56,131,123
72,131,120
76,131,121
93,120,131
112,101,144
103,103,144
61,114,142
41,121,137
42,119,138
51,116,142
62,113,142
70,111,142
69,111,140
73,112,141
73,111,142
70,113,143
75,112,145
75,110,145
173,143,117
191,144,116
188,144,116
187,144,116
186,145,116
184,145,116
183,146,115
181,146,115
179,146,114
178,147,114
176,147,114
174,147,114
172,148,114
170,148,113
168,149,112
167,149,112
165,150,112
165,150,112
165,150,112
164,150,111
166,150,112
167,150,112
168,149,112
167,150,112
167,149,112
168,149,111
168,149,112
169,149,112
169,149,113
167,150,112
165,150,112
162,150,112
160,151,111
158,151,111
156,152,110
154,152,110
153,152,110
151,153,109
149,153,110
147,153,109
146,154,109
144,154,109
143,154,109
143,154,109
146,153,109
154,152,110
161,151,111
168,150,112
173,148,113
178,147,114
184,145,115
188,144,116
188,144,116
187,145,116
186,145,116
183,145,116
177,146,114
173,148,113
169,148,113
168,148,114
167,149,113
164,149,113
161,150,112
160,150,112
164,151,111
172,149,112
172,148,113
149,138,121
107,118,135
85,111,139
109,109,138
107,110,138
100,111,139
83,116,136
41,126,131
51,132,131
74,121,137
97,110,141
86,109,141
72,113,138
41,128,130
67,128,127
100,116,131
114,100,143
93,104,143
41,122,135
30,128,132
42,125,135
61,130,124
81,131,119
98,119,130
102,103,143
78,109,142
25,128,131
25,129,131
31,128,132
38,127,135
49,131,125
67,131,120
76,129,123
100,113,137
106,102,143
93,103,144
78,109,141
47,117,138
43,119,137
51,119,137
53,118,137
53,118,138
54,116,140
61,114,142
67,112,143
70,112,142
66,112,140
55,117,139
174,143,117
193,144,116
190,144,116
188,144,116
187,144,116
186,145,116
184,145,115
182,146,115
180,146,114
179,146,114
178,147,114
176,147,114
174,148,113
172,148,113
169,149,113
167,149,112
166,150,112
165,150,112
165,150,112
164,150,111
165,150,112
166,150,111
168,149,112
168,150,112
166,150,112
166,150,112
166,150,112
167,149,112
168,149,112
167,149,112
165,150,112
162,150,112
160,151,111
158,151,111
157,151,111
155,152,110
154,152,110
152,152,110
150,153,110
148,154,110
146,153,109
144,154,110
143,154,109
143,154,109
144,154,109
151,153,109
157,151,110
161,151,111
167,149,111
177,147,114
186,145,116
188,144,116
188,144,116
187,145,117
186,145,117
183,145,115
176,146,114
172,147,114
171,147,114
171,148,114
169,148,114
165,149,113
162,150,112
158,149,113
144,141,118
138,142,116
173,149,113
144,132,124
104,111,139
80,115,136
50,126,128
70,124,132
82,116,134
71,116,137
52,121,137
95,114,141
109,102,145
116,98,146
111,98,144
76,112,139
30,129,132
48,129,131
78,130,118
98,114,132
97,102,144
57,118,137
26,130,131
40,125,135
54,129,126
79,131,119
88,127,124
95,108,140
87,106,143
32,127,132
23,130,130
28,129,132
35,126,135
43,130,128
62,131,120
72,130,122
82,119,131
90,107,142
83,108,143
51,118,138
33,124,135
38,122,136
44,120,139
51,117,140
56,116,140
57,116,140
52,118,137
43,123,134
36,125,133
33,126,132
32,127,131
175,142,117
194,143,117
191,143,117
190,144,117
188,144,116
187,144,116
186,145,116
183,145,116
181,146,115
180,146,115
179,146,114
177,147,114
175,147,113
173,148,113
170,149,113
168,149,113
167,149,112
165,149,112
165,150,112
165,150,112
165,150,112
166,150,112
167,150,112
167,150,112
167,150,112
167,150,112
166,149,111
166,150,112
168,150,112
167,149,112
166,150,112
163,150,112
160,151,111
158,151,111
157,151,111
156,152,111
155,152,110
152,152,110
150,153,110
149,153,109
146,153,109
144,154,109
143,154,109
143,154,109
143,154,109
147,153,109
154,152,110
153,152,110
155,151,110
173,148,113
187,145,116
188,144,116
188,144,116
188,144,116
186,144,116
183,145,115
177,146,115
175,147,114
172,147,114
172,148,113
172,149,112
169,149,112
164,151,111
136,135,123
94,114,138
94,116,137
125,118,133
113,108,139
97,111,138
69,120,134
38,130,132
66,126,134
93,112,139
85,112,140
77,118,136
77,122,132
104,115,131
126,101,142
114,98,144
84,107,143
31,128,132
43,127,134
68,131,120
94,122,127
100,104,144
75,111,142
28,130,131
38,127,133
48,128,129
75,131,119
81,130,121
90,111,137
86,105,143
39,124,134
20,132,129
26,129,132
33,126,135
39,129,130
50,131,120
63,130,124
77,127,127
87,111,140
83,109,144
51,120,137
35,124,135
41,120,138
44,118,138
45,120,137
39,124,134
32,127,132
28,129,131
26,128,130
25,129,129
22,129,129
22,129,129
177,142,117
195,143,117
192,143,117
191,144,117
190,144,117
189,144,117
187,144,117
185,145,116
183,145,115
181,146,115
180,146,115
178,146,114
176,147,114
174,147,114
172,148,113
170,149,113
168,149,112
167,149,112
166,150,112
166,150,112
166,150,112
166,150,112
167,150,112
167,150,112
168,149,112
168,149,112
167,149,112
167,149,112
168,149,112
168,150,112
166,150,112
164,150,112
161,151,111
159,151,111
158,151,111
157,151,111
156,152,111
154,152,110
151,153,110
149,153,109
146,153,109
144,154,109
143,154,109
143,154,109
142,154,109
145,154,109
150,153,110
154,152,111
156,151,111
167,149,112
184,146,115
187,145,116
188,144,116
188,144,116
185,145,115
182,145,115
177,146,114
175,147,114
173,147,113
167,145,114
144,138,119
141,142,117
157,141,119
119,116,137
93,114,138
61,121,131
65,125,131
84,119,132
82,115,136
66,118,136
70,121,137
114,103,144
118,98,146
106,102,143
58,121,134
53,128,135
75,127,129
104,120,124
115,101,141
98,102,144
39,125,133
37,128,133
60,129,125
83,130,119
91,112,137
89,106,143
34,127,132
36,129,132
44,129,132
68,130,120
85,125,126
79,119,132
81,108,142
61,116,139
52,120,138
56,118,139
46,121,137
36,128,133
41,131,124
59,131,123
87,124,128
91,109,142
82,110,143
49,119,139
34,124,136
35,123,135
31,125,132
27,129,130
23,130,129
21,131,128
19,131,128
19,131,128
21,131,130
21,129,131
28,126,134
177,142,118
196,143,117
194,143,117
193,143,117
192,143,117
190,143,117
189,144,117
187,144,116
185,145,115
182,146,115
181,146,115
180,146,114
178,147,114
176,147,114
174,148,113
171,148,113
169,149,113
