,id,struct_filepath,formula,anon_formula,anions,heteroanion,sg_sym,sg_num,n_elems,mm_dist,tm1,tm2,idx1,idx2,oxi1,oxi2,ref_dist,delta,normed_dist,d_state1,d_state2,n1,n2,ionic_r_1,ionic_r_2,mn1,mn2,max_con,ce1,ce2,cn1,cn2,csm1,csm2,gii,gii_1991,pred_d1
11273,648022,P2Ru_648022.cif,P2Ru,AB2,P,False,Pnnm,58.0,2,2.8702,Ru,Ru,4,4,2.0,2.0,2.665672086647254,0.204527913352746,1.0767265840300675,7,7,4,4,,,62,62,0.6769479412486987,HB:8,HB:8,8.0,8.0,1.5700476916436783,1.5700476916436783,,,5
11274,648023,PRuS_648023.cif,PRuS,ABC,"S,P",True,P2_1/c,14.0,3,2.9187107297026413,Ru,Ru,6,4,3.0,3.0,2.665672086647254,0.2530386430553868,1.0949248950472543,7,7,4,4,0.82,0.82,62,62,0.4520198993182394,O:6,O:6,6.0,6.0,0.3543805427180713,0.3543805427180713,,,4
11275,648027,PRuSe_648027.cif,PRuSe,ABC,"Se,P",True,P2_1/c,14.0,3,2.9893209203611035,Ru,Ru,6,4,3.0,3.0,2.665672086647254,0.3236488337138499,1.1214135959689322,7,7,4,4,0.82,0.82,62,62,0.4749710373942886,O:6,O:6,6.0,6.0,0.3423941165751332,0.3423941165751332,,,4
11276,648028,PRuSe_648028.cif,PRuSe,ABC,"Se,P",True,P2_1/c,14.0,3,2.9863154145692996,Ru,Ru,6,4,0.0,0.0,2.665672086647254,0.32064332792204603,1.120286110781666,7,7,4,4,,,62,62,0.4755122667277147,O:6,O:6,6.0,6.0,0.3458553212568574,0.3458553212568574,0.0,0.0,7
11277,648029,Sm5P12Ru19_648029.cif,Sm5P12Ru19,A5B12C19,P,False,P-62m,189.0,3,2.7327812667595617,Ru,Ru,34,29,0.0,0.0,2.665672086647254,0.06710918011230804,1.0251753321229824,7,7,4,4,,,62,62,0.9701223796074157,C:12,C:12,12.0,12.0,3.2874739505785096,3.2874739505785096,0.0,0.0,7
11278,648030,Sr(PRu)2_648030.cif,Sr(PRu)2,AB2C2,P,False,I4/mmm,139.0,3,2.851761648525346,Ru,Ru,7,6,0.0,0.0,2.665672086647254,0.186089561878092,1.0698096224251443,7,7,4,4,,,62,62,0.8740153852261239,T:4,T:4,4.0,4.0,0.012841165789744409,0.012841165789744409,0.0,0.0,7
11279,648031,TaPRu_648031.cif,TaPRu,ABC,P,False,Pnma,62.0,3,2.7958168900412628,Ru,Ru,11,9,0.0,0.0,2.665672086647254,0.1301448033940087,1.048822510482787,7,7,4,4,,,62,62,0.581125717604273,T:4,T:4,4.0,4.0,0.6620256145289924,0.6620256145289924,0.0,0.0,7
11280,648032,Tb5P12Ru19_648032.cif,Tb5P12Ru19,A5B12C19,P,False,P-62m,189.0,3,2.722960538680647,Ru,Ru,34,29,0.0,0.0,2.665672086647254,0.05728845203339272,1.0214911850262298,7,7,4,4,,,62,62,0.9722581593380256,C:12,C:12,12.0,12.0,3.2667417737803177,3.2667417737803177,0.0,0.0,7
11281,648033,Th(P3Ru)4_648033.cif,Th(P3Ru)4,AB4C12,P,False,Im-3,204.0,3,4.02305,Ru,Ru,28,27,2.0,2.0,2.665672086647254,1.3573779133527455,1.5092066350366395,7,7,4,4,,,62,62,0.0,O:6,O:6,6.0,6.0,1.0630245996592174,1.0630245996592174,,,5
11282,648035,Y5P12Ru19_648035.cif,Y5P12Ru19,A5B12C19,P,False,P-62m,189.0,3,2.7347454123753456,Ru,Ru,34,29,0.0,0.0,2.665672086647254,0.06907332572809155,1.025912161542333,7,7,4,4,,,62,62,0.9545664242141908,C:12,C:12,12.0,12.0,3.2740739425633816,3.2740739425633816,0.0,0.0,7
11283,648036,Yb5P12Ru19_648036.cif,Yb5P12Ru19,A5B12C19,P,False,P-62m,189.0,3,2.7113939033877017,Ru,Ru,32,31,0.0,0.0,2.665672086647254,0.04572181674044762,1.0171520784456105,7,7,4,4,,,62,62,0.9727357367191942,C:12,C:12,12.0,12.0,3.2665739382817214,3.2665739382817214,0.0,0.0,7
11284,648037,ZrPRu_648037.cif,ZrPRu,ABC,P,False,P-62m,189.0,3,2.8967223759967053,Ru,Zr,7,1,0.0,0.0,2.9285729595244123,-0.031850583527706984,0.9891241966760222,7,2,4,4,,,62,49,0.9228797851107676,,,,,,,0.0,0.0,7
11285,648038,ZrPRu_648038.cif,ZrPRu,ABC,P,False,Pnma,62.0,3,2.877833300871333,Ru,Ru,11,9,0.0,0.0,2.665672086647254,0.2121612142240794,1.0795901398701009,7,7,4,4,,,62,62,0.6339661575728801,T:4,T:4,4.0,4.0,0.5609846481594811,0.5609846481594811,0.0,0.0,7
11286,648076,VPS3_648076.cif,VPS3,ABC3,"S,P",True,C2/m,12.0,3,3.373920019265424,V,V,2,1,2.0,2.0,2.59228655,0.7816334692654241,1.301522788545666,3,3,3,3,0.93,0.93,54,54,0.21760701508302027,O:6,O:6,6.0,6.0,0.4002424212301369,0.4002424212301369,0.25551351307731945,,1
11287,648078,YPS4_648078.cif,YPS4,ABC4,"S,P",True,I4_1/acd,142.0,3,4.7487499999999985,Y,Y,8,1,3.0,3.0,3.533909661494832,1.2148403385051671,1.3437666649325986,1,1,4,4,1.04,1.04,25,25,0.0,DDPN:8,DDPN:8,8.0,8.0,1.5055724007227924,1.5055724007227924,0.41049588144068055,,-2
11288,648080,YPS_648080.cif,YPS,ABC,"S,P",True,Pnma,62.0,3,3.7656144956614974,Y,Y,7,1,3.0,3.0,3.533909661494832,0.2317048341666652,1.0655661452502028,1,1,4,4,1.04,1.04,25,25,0.07328474651024043,TT_1:9,TT_1:9,9.0,9.0,3.496913038651662,3.496913038651662,,,-2
11289,648084,ZnPS3_648084.cif,ZnPS3,ABC3,"S,P",True,C2/m,12.0,3,3.4442465524718977,Zn,Zn,2,1,2.0,2.0,2.6267307799999995,0.8175157724718982,1.3112293725327642,10,10,3,3,0.88,0.88,76,76,0.20682850446902634,O:6,O:6,6.0,6.0,0.3611638992387152,0.3611638992387152,0.16113659426272114,,8
11290,648089,ZnPS3_648089.cif,ZnPS3,ABC3,"S,P",True,C2/m,12.0,3,3.43352,Zn,Zn,1,0,2.0,2.0,2.6267307799999995,0.8067892200000002,1.3071457593381537,10,10,3,3,0.88,0.88,76,76,0.2029725411442369,O:6,O:6,6.0,6.0,0.3631914281039189,0.3631914281039189,0.12866636345827712,,8
