starID,time,mass,x,y,z
4,506.227,1.10,-0.865,-1.313,-0.151
0,506.814,1.00,-0.355,-1.656,-0.173
1,506.814,0.75,-0.425,-1.819,-0.267
2,506.814,1.20,1.898,4.873,0.642
3,506.814,0.70,-0.839,-1.789,-0.401
4,506.814,1.10,-0.925,-1.432,-0.105
0,507.401,1.00,-0.321,-1.614,-0.159
1,507.401,0.75,-0.437,-1.720,-0.316
2,507.401,1.20,1.906,4.944,0.650
3,507.401,0.70,-0.822,-1.864,-0.436
4,507.401,1.10,-0.967,-1.568,-0.071
0,507.989,1.00,-0.338,-1.601,-0.192
1,507.989,0.75,-0.427,-1.585,-0.305
2,507.989,1.20,1.915,5.015,0.657
3,507.989,0.70,-0.788,-1.918,-0.449
4,507.989,1.10,-0.989,-1.714,-0.049
0,508.576,1.00,-0.398,-1.485,-0.248
1,508.576,0.75,-0.396,-1.603,-0.262
2,508.576,1.20,1.923,5.085,0.665
3,508.576,0.70,-0.745,-1.952,-0.439
4,508.576,1.10,-0.991,-1.861,-0.042
0,509.163,1.00,-0.393,-1.423,-0.211
1,509.163,0.75,-0.483,-1.574,-0.344
2,509.163,1.20,1.931,5.155,0.673
3,509.163,0.70,-0.698,-1.966,-0.406
4,509.163,1.10,-0.975,-2.005,-0.049
0,509.750,1.00,-0.420,-1.420,-0.213
1,509.750,0.75,-0.548,-1.496,-0.373
2,509.750,1.20,1.938,5.224,0.681
3,509.750,0.70,-0.654,-1.962,-0.350
4,509.750,1.10,-0.943,-2.140,-0.071
0,510.338,1.00,-0.497,-1.447,-0.269
1,510.338,0.75,-0.561,-1.408,-0.330
2,510.338,1.20,1.946,5.294,0.688
3,510.338,0.70,-0.616,-1.944,-0.279
4,510.338,1.10,-0.896,-2.262,-0.104
0,510.925,1.00,-0.562,-1.361,-0.272
1,510.925,0.75,-0.600,-1.507,-0.352
2,510.925,1.20,1.954,5.363,0.696
3,510.925,0.70,-0.587,-1.915,-0.201
4,510.925,1.10,-0.838,-2.367,-0.144
0,511.512,1.00,-0.585,-1.373,-0.247
1,511.512,0.75,-0.698,-1.510,-0.403
2,511.512,1.20,1.961,5.432,0.703
3,511.512,0.70,-0.565,-1.872,-0.128
4,511.512,1.10,-0.773,-2.457,-0.186
0,512.099,1.00,-0.634,-1.432,-0.257
1,512.099,0.75,-0.756,-1.482,-0.397
2,512.099,1.20,1.969,5.501,0.711
3,512.099,0.70,-0.552,-1.815,-0.067
4,512.099,1.10,-0.704,-2.533,-0.229
0,512.687,1.00,-0.747,-1.467,-0.318
1,512.687,0.75,-0.722,-1.520,-0.305
2,512.687,1.20,1.976,5.569,0.719
3,512.687,0.70,-0.549,-1.740,-0.024
4,512.687,1.10,-0.634,-2.599,-0.272
0,513.274,1.00,-0.749,-1.468,-0.248
1,513.274,0.75,-0.820,-1.632,-0.363
2,513.274,1.20,1.984,5.637,0.726
3,513.274,0.70,-0.565,-1.647,-0.010
4,513.274,1.10,-0.565,-2.655,-0.313
0,513.861,1.00,-0.756,-1.550,-0.198
1,513.861,0.75,-0.882,-1.658,-0.358
2,513.861,1.20,1.991,5.705,0.734
3,513.861,0.70,-0.609,-1.541,-0.035
4,513.861,1.10,-0.496,-2.703,-0.354
0,514.449,1.00,-0.759,-1.649,-0.152
1,514.449,0.75,-0.890,-1.649,-0.288
2,514.449,1.20,1.998,5.773,0.741
3,514.449,0.70,-0.714,-1.461,-0.127
4,514.449,1.10,-0.429,-2.745,-0.394
0,515.036,1.00,-0.809,-1.637,-0.142
1,515.036,0.75,-0.791,-1.686,-0.141
2,515.036,1.20,2.005,5.841,0.749
3,515.036,0.70,-0.864,-1.499,-0.250
4,515.036,1.10,-0.364,-2.780,-0.432
0,515.623,1.00,-0.756,-1.578,-0.041
1,515.623,0.75,-0.859,-1.683,-0.182
2,515.623,1.20,2.012,5.909,0.756
3,515.623,0.70,-0.976,-1.656,-0.305
4,515.623,1.10,-0.301,-2.810,-0.470
0,516.210,1.00,-0.755,-1.577,-0.016
1,516.210,0.75,-0.930,-1.606,-0.202
2,516.210,1.20,2.019,5.976,0.763
3,516.210,0.70,-1.010,-1.817,-0.274
4,516.210,1.10,-0.240,-2.834,-0.506
0,516.798,1.00,-0.794,-1.593,-0.036
1,516.798,0.75,-0.979,-1.561,-0.199
2,516.798,1.20,2.026,6.043,0.771
