name,x,alt
SASSE,0.833,-0.423
FISCHER,0.462,0.415
HELLER,0.452,-0.338
REID,-0.276,0.258
AYOTTE,0.351,-0.612
SHAHEEN,-0.283,-0.457
MENENDEZ,-0.362,-0.124
BOOKER,-0.498,-0.576
HEINRICH,-0.28,-0.04
UDALL,-0.458,0.17
GILLIBRAND,-0.305,0.004
SCHUMER,-0.35,-0.431
BURR,0.453,-0.026
TILLIS,0.441,-0.052
HEITKAMP,-0.15,0.445
HOEVEN,0.334,0.415
BROWN,-0.443,-0.163
PORTMAN,0.37,-0.204
INHOFE,0.552,0.039
LANKFORD,0.562,0.286
MERKLEY,-0.438,-0.899
WYDEN,-0.313,-0.441
CASEY,-0.298,0.229
TOOMEY,0.623,-0.228
WHITEHOUSE,-0.429,-0.362
REED,-0.39,-0.289
SCOTT,0.668,0.069
GRAHAM,0.409,-0.161
THUNE,0.408,0.186
ROUNDS,0.382,0.03
CORKER,0.39,-0.288
ALEXANDER,0.321,-0.128
CORNYN,0.499,-0.007
CRUZ,0.858,-0.196
LEE,0.861,-0.509
HATCH,0.383,-0.014
SANDERS,-0.509,-0.297
LEAHY,-0.375,-0.15
KAINE,-0.227,-0.136
WARNER,-0.203,-0.077
CANTWELL,-0.288,-0.422
MURRAY,-0.342,-0.322
MANCHIN,-0.06,0.424
CAPITO,0.255,0.09
JOHNSON,0.589,-0.25
BALDWIN,-0.55,-0.248
ENZI,0.541,0.228
BARRASSO,0.53,0.286
