y,cb,cr
30,124,126
33,122,127
29,123,126
35,121,130
51,112,130
47,114,126
47,113,128
45,114,128
45,116,128
46,114,131
35,122,128
220,137,114
214,140,114
209,142,114
207,142,114
207,142,114
208,141,115
211,140,116
215,139,115
219,137,115
222,136,115
227,132,116
228,132,116
228,132,117
228,132,117
227,133,116
219,137,115
213,139,115
209,141,115
208,141,115
209,140,116
209,140,115
206,141,115
206,140,116
206,140,116
206,140,116
207,139,116
209,139,116
208,139,116
207,139,116
206,139,116
205,139,116
205,140,116
206,139,116
209,137,117
212,136,117
217,135,117
213,136,117
214,135,117
220,134,117
219,133,117
219,133,117
219,133,118
220,132,118
220,130,119
220,129,119
220,129,119
219,129,119
218,129,120
218,130,119
213,132,119
207,134,118
208,133,118
208,132,119
212,130,120
214,128,120
214,127,121
212,128,120
212,128,121
211,128,120
205,132,120
203,134,120
202,134,120
203,133,120
203,132,120
203,131,121
204,130,121
205,130,121
204,129,122
202,130,122
200,131,122
199,130,122
199,130,122
200,130,123
186,128,125
161,125,130
159,124,131
160,124,131
158,125,132
157,124,132
156,125,133
155,124,132
155,124,133
153,124,132
152,125,132
151,125,132
151,124,132
150,125,132
149,125,132
148,126,132
147,124,132
138,123,133
129,123,133
126,122,132
123,122,132
109,120,132
104,122,131
103,121,131
101,121,131
96,123,131
89,121,130
83,123,130
83,121,130
84,120,131
69,118,129
54,123,127
61,121,128
59,122,129
53,122,130
57,121,129
60,122,129
68,122,129
83,119,131
77,108,135
61,108,132
51,114,129
46,115,129
37,120,128
29,123,127
30,123,128
36,122,127
36,123,126
29,124,126
27,125,127
27,125,128
29,124,127
39,119,129
34,121,128
28,124,127
32,121,129
52,110,132
56,108,130
45,117,129
44,116,129
38,120,127
31,124,126
219,137,114
214,140,114
209,142,114
207,142,114
207,142,115
207,141,115
210,141,115
214,140,115
219,137,115
225,134,115
228,132,116
227,132,116
228,132,117
228,132,117
227,133,116
218,137,116
213,139,115
209,140,115
208,141,115
210,140,115
209,140,115
206,141,115
206,141,115
206,140,116
206,140,116
208,139,116
209,139,116
208,139,116
207,138,116
206,139,116
205,139,116
204,140,116
206,139,116
210,137,117
211,136,117
216,135,117
216,135,117
215,135,117
220,133,117
220,133,117
219,133,117
219,133,118
220,131,118
221,131,118
220,130,119
220,130,119
219,129,119
218,130,119
219,130,119
213,132,119
207,134,118
208,134,119
208,133,119
212,130,120
214,128,120
213,129,120
210,130,121
212,128,121
212,128,121
206,131,120
202,134,120
202,133,120
202,133,120
202,132,120
202,132,120
202,131,121
202,131,122
203,130,122
202,129,122
201,131,122
200,130,123
199,129,123
199,129,124
196,129,124
166,125,129
159,124,131
160,124,131
159,125,132
158,125,132
157,124,132
156,124,132
155,124,133
153,124,132
152,125,132
151,125,132
151,125,132
150,124,132
149,125,132
148,125,132
144,124,132
136,122,132
130,122,133
126,121,133
121,122,132
110,121,132
103,122,131
104,121,131
97,122,131
96,121,131
91,121,130
89,121,130
86,121,130
81,121,130
76,123,129
62,123,128
61,121,127
60,122,127
57,122,129
61,119,130
68,120,129
75,121,128
79,116,131
70,110,132
55,112,130
53,112,131
47,115,128
36,121,127
30,122,126
29,123,128
33,122,127
30,124,126
29,125,126
27,124,126
27,125,127
28,125,127
39,117,130
37,119,128
29,124,127
29,124,130
39,118,130
46,114,128
49,115,131
55,111,133
51,110,129
44,114,129
218,138,114
214,140,114
209,142,114
207,142,115
207,142,115
207,141,115
210,141,115
213,140,115
219,137,114
226,133,116
228,132,116
225,134,116
228,132,117
228,132,117
227,133,116
217,138,115
212,140,115
209,141,115
208,141,115
209,140,116
209,141,115
206,141,115
206,141,115
206,140,115
206,140,116
207,139,116
208,139,116
208,139,116
206,139,116
205,140,116
204,140,116
205,139,116
207,138,117
211,137,117
212,136,117
215,135,117
217,134,117
216,134,117
220,133,117
220,133,117
219,133,117
219,133,118
220,131,118
220,131,119
220,130,119
220,130,119
219,130,119
218,129,120
218,129,120
213,131,119
207,134,118
208,133,118
208,133,119
212,130,120
214,128,121
212,130,120
210,131,121
212,128,121
213,127,121
207,131,120
202,134,120
202,133,120
202,133,120
202,133,120
201,132,120
201,132,121
202,131,121
202,129,122
202,129,123
201,130,123
200,129,123
199,129,123
200,128,124
197,129,124
168,126,129
160,124,132
159,124,132
158,125,131
157,124,132
157,124,132
156,124,132
154,125,132
153,125,132
152,125,132
151,125,132
151,125,132
150,124,132
149,124,132
147,124,132
140,124,132
136,122,132
129,123,133
125,120,134
117,119,134
103,121,132
101,122,132
101,122,131
98,122,131
96,120,131
92,121,131
92,121,130
86,121,130
84,122,131
82,122,130
83,119,130
75,118,129
72,118,130
69,118,129
68,120,130
69,121,128
72,117,129
63,113,130
60,110,131
53,114,129
50,116,129
40,119,126
32,123,125
30,124,126
